,srch_id,month,daypart,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd
0,1,4,Morning,187,NA,NA,219,893,3,3.5,1,3.0,0.0,5.0,27,105.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,
1,1,4,Morning,187,NA,NA,219,10404,4,4.0,1,2.0,0.0,5.0,26,171.0,0,23246,1,0,4,0,1,1,,NA,1,,,,,,,0.0,0.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,0,
2,1,4,Morning,187,NA,NA,219,21315,3,4.5,1,2.0,0.0,5.0,21,180.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,
3,1,4,Morning,187,NA,NA,219,27348,2,4.0,1,3.0,0.0,4.5,34,603.0,0,23246,1,0,4,0,1,1,,NA,1,,,,-1.0,0.0,5.0,-1.0,0.0,5.0,,,,0.0,1.0,,,,,,,,-1.0,0.0,5.0,0,
4,1,4,Morning,187,NA,NA,219,29604,4,3.5,1,2.5,0.0,5.0,4,144.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,
5,1,4,Morning,187,NA,NA,219,30184,4,4.5,1,3.0,0.0,5.0,7,195.0,0,23246,1,0,4,0,1,1,,NA,1,,,,,,,0.0,0.0,7.0,,,,0.0,0.0,,,,,,,,0.0,0.0,7.0,0,
6,1,4,Morning,187,NA,NA,219,44147,3,3.5,1,2.0,0.0,5.0,18,129.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,
7,1,4,Morning,187,NA,NA,219,50984,2,0.0,0,1.5,NA,4.0,35,85.0,0,23246,1,0,4,0,1,1,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,0,
8,1,4,Morning,187,NA,NA,219,53341,4,4.0,1,2.5,0.0,5.0,3,150.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,6.0,0,
9,1,4,Morning,187,NA,NA,219,56880,4,4.0,1,3.0,0.0,5.0,10,281.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,
10,1,4,Morning,187,NA,NA,219,59267,3,0.0,1,2.0,NA,5.0,20,190.0,0,23246,1,0,4,0,1,1,,NA,1,,,,1.0,0.0,11.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,
11,1,4,Morning,187,NA,NA,219,59526,3,3.5,0,2.0,0.0,5.0,19,101.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,-1.0,0.0,5.0,,,,,,,,,,,,,1.0,0.0,31.0,0,
12,1,4,Morning,187,NA,NA,219,68914,2,3.0,1,2.0,0.0,4.5,13,101.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,11.0,0.0,0.0,,,,,0.0,-1.0,,,,,,,,0.0,0.0,11.0,1,114.29
13,1,4,Morning,187,NA,NA,219,74474,3,4.5,1,2.5,0.0,5.0,2,211.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,
14,1,4,Morning,187,NA,NA,219,81437,3,4.0,1,2.5,0.0,5.0,15,138.0,0,23246,1,0,4,0,1,1,,NA,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,
